"","X","Var2","Var1","Var3","lat","long","month","year","omega_Ar","TA","pH","month1","site","month2","Date"
"1510099",620569,30,76,1,16.575475692749,-88.3516540527344,0,2016,4.08646106719971,2347.60864257812,8.06875705718994,"January","Nearshore",1,Jan 2016
"1510103",620570,30,76,10,16.575475692749,-88.3516540527344,9,2016,4.19550466537476,2344.30102539062,8.04551410675049,"October","Nearshore",10,Oct 2016
"1510104",620571,30,76,11,16.575475692749,-88.3516540527344,10,2016,4.12690496444702,2344.76733398438,8.05588912963867,"November","Nearshore",11,Nov 2016
"1510105",620572,30,76,12,16.575475692749,-88.3516540527344,11,2016,4.08492088317871,2345.82299804688,8.06424713134766,"December","Nearshore",12,Dec 2016
"1510106",620573,30,76,2,16.575475692749,-88.3516540527344,1,2016,4.0322117805481,2348.0068359375,8.07690525054932,"February","Nearshore",2,Feb 2016
"1510107",620574,30,76,3,16.575475692749,-88.3516540527344,2,2016,4.05956125259399,2345.64111328125,8.07180690765381,"March","Nearshore",3,Mar 2016
"1510108",620575,30,76,4,16.575475692749,-88.3516540527344,3,2016,4.12972402572632,2350.13525390625,8.05837821960449,"April","Nearshore",4,Apr 2016
"1510109",620576,30,76,5,16.575475692749,-88.3516540527344,4,2016,4.18289995193481,2353.72021484375,8.04542541503906,"May","Nearshore",5,May 2016
"1510110",620577,30,76,6,16.575475692749,-88.3516540527344,5,2016,4.20219373703003,2354.75024414062,8.03816795349121,"June","Nearshore",6,Jun 2016
"1510111",620578,30,76,7,16.575475692749,-88.3516540527344,6,2016,4.20076513290405,2351.455078125,8.04571151733398,"July","Nearshore",7,Jul 2016
"1510112",620579,30,76,8,16.575475692749,-88.3516540527344,7,2016,4.21077680587769,2346.56274414062,8.04310131072998,"August","Nearshore",8,Aug 2016
"1510116",620580,30,76,9,16.575475692749,-88.3516540527344,8,2016,4.22133111953735,2345.1201171875,8.03871631622314,"September","Nearshore",9,Sep 2016
"2411410",620569,30,76,1,16.575475692749,-88.3516540527344,20170101,2017,4.03906059265137,2347.970703125,8.07637500762939,"January","Nearshore",1,Jan 2017
"2411412",620570,30,76,10,16.575475692749,-88.3516540527344,20171001,2017,4.16832160949707,2338.88427734375,8.04487419128418,"October","Nearshore",10,Oct 2017
