"","timepoint","ID","bw_date","species","colony","coralID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","protein","carbs","carb_sd","carb_se","lipid","lip_sd","lip_se","months","stand_BW","BW_stdT0"
"1","T0","PSTR 1 1","12/11/2017","PSTR","1","1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,16.99472296,0.014142136,0.01,21.85693821,0.028311047,0.01634539,NA,NA,NA,NA,NA,NA,NA,NA,0,0.777543624670383,0.777543624670383
"2","T0","PSTR 1 10","12/11/2017","PSTR","1","10","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,18.62401055,0.007071068,0.005,13.96505879,0.071229235,0.041124218,NA,NA,NA,NA,NA,NA,NA,NA,0,1.33361490488935,1.33361490488935
"3","T0","PSTR 1 11","12/11/2017","PSTR","1","11","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,17.68654354,0.028284271,0.02,14.03036393,0.012039639,0.006951089,NA,NA,NA,NA,NA,NA,NA,NA,0,1.26059050415523,1.26059050415523
"4","T0","PSTR 1 12","12/11/2017","PSTR","1","12","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,22.34881266,0,0,14.79643006,0.000731335,0.000422236,NA,NA,NA,NA,NA,NA,NA,NA,0,1.51041924095034,1.51041924095034
"5","T0","PSTR 1 14","12/12/2017","PSTR","1","14","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,18.0911958,0.035355339,0.025,18.74538079,0.266910205,0.154100679,NA,NA,NA,NA,NA,NA,NA,NA,0,0.965101536355613,0.965101536355613
"6","T0","PSTR 1 15","12/12/2017","PSTR","1","15","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,16.24862024,0.014142136,0.01,15.95255274,0.180846611,0.10441184,NA,NA,NA,NA,NA,NA,NA,NA,0,1.01855925536341,1.01855925536341
"7","T0","PSTR 1 16","12/12/2017","PSTR","1","16","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,20.52798949,0.007071068,0.005,18.1802523,0.050658544,0.029247724,NA,NA,NA,NA,NA,NA,NA,NA,0,1.12913666715175,1.12913666715175
"8","T0","PSTR 1 17","12/12/2017","PSTR","1","17","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,13.7369251,0.007071068,0.005,17.20270383,0.08711064,0.050293352,NA,NA,NA,NA,NA,NA,NA,NA,0,0.798532907137773,0.798532907137773
"9","T0","PSTR 1 18","12/12/2017","PSTR","1","18","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,9.207884363,0,0,12.62242073,0.146180881,0.084397571,NA,NA,NA,NA,NA,NA,NA,NA,0,0.729486408349185,0.729486408349185
"10","T0","PSTR 1 19","12/12/2017","PSTR","1","19","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,14.62076216,0,0,14.91595497,0.095033351,0.054867531,NA,NA,NA,NA,NA,NA,NA,NA,0,0.980209593646956,0.980209593646956
"11","T0","PSTR 1 2","12/11/2017","PSTR","1","2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,28.50501319,0.028284271,0.02,20.92004351,0.266249295,0.153719102,NA,NA,NA,NA,NA,NA,NA,NA,0,1.36256949830789,1.36256949830789
"12","T0","PSTR 1 20","12/12/2017","PSTR","1","20","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,9.607358739,0,0,13.15736282,5.885110134,2.942555067,NA,NA,NA,NA,NA,NA,NA,NA,0,0.730188782542063,0.730188782542063
"13","T0","PSTR 1 21","12/12/2017","PSTR","1","21","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,17.082523,0.007071068,0.005,15.20027268,0.005777915,0.003335881,NA,NA,NA,NA,NA,NA,NA,NA,0,1.12383003644906,1.12383003644906
"14","T0","PSTR 1 22","12/12/2017","PSTR","1","22","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,14.22628121,0.007071068,0.005,30.114484,0.044677625,0.025794639,NA,NA,NA,NA,NA,NA,NA,NA,0,0.472406607066553,0.472406607066553
"15","T0","PSTR 1 23","12/12/2017","PSTR","1","23","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,17.50197109,0.035355339,0.025,11.70740264,0.056812639,0.032800792,NA,NA,NA,NA,NA,NA,NA,NA,0,1.49494910427032,1.49494910427032
"16","T0","PSTR 1 24","12/12/2017","PSTR","1","24","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,14.07148489,0.014142136,0.01,18.95866875,0.01470723,0.008491223,NA,NA,NA,NA,NA,NA,NA,NA,0,0.742219038454375,0.742219038454375
"17","T0","PSTR 1 25","12/12/2017","PSTR","1","25","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,16.75795007,0.014142136,0.01,13.20187731,0.036784737,0.021237678,NA,NA,NA,NA,NA,NA,NA,NA,0,1.26936114285098,1.26936114285098
"18","T0","PSTR 1 3","12/11/2017","PSTR","1","3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,16.50844327,0.007071068,0.005,17.12327707,0.192485165,0.111131362,NA,NA,NA,NA,NA,NA,NA,NA,0,0.964093683849969,0.964093683849969
"19","T0","PSTR 1 4","12/11/2017","PSTR","1","4","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,13.15963061,0.021213203,0.015,12.47212002,0.115079269,0.066441047,NA,NA,NA,NA,NA,NA,NA,NA,0,1.05512379522467,1.05512379522467
"20","T0","PSTR 1 5","12/11/2017","PSTR","1","5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,14.14722955,0,0,11.49450912,0.029319816,0.016927804,NA,NA,NA,NA,NA,NA,NA,NA,0,1.23078153249575,1.23078153249575
"21","T0","PSTR 1 6","12/11/2017","PSTR","1","6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,22.20343008,0.007071068,0.005,13.84077895,0.004490647,0.002592676,NA,NA,NA,NA,NA,NA,NA,NA,0,1.60420379230173,1.60420379230173
"22","T0","PSTR 1 7","12/11/2017","PSTR","1","7","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,27.6828496,0.014142136,0.01,20.37046849,0.108481638,0.062631903,NA,NA,NA,NA,NA,NA,NA,NA,0,1.35896970723033,1.35896970723033
