"","coralID","species","colony","fragment","time_point","transplant","N","symbiont_density","sd","se","ci","symb_mean","symblowerci","symbupperci"
"1","PSTR 1 1","PSTR","1","1","T1","NS Native",6,8862000,1628603.81922676,664874.725042244,1709114.89116728,6645580.24620971,5137028.20702036,8194725.52400468
"2","PSTR 1 11","PSTR","1","11","T3","OS Transplant",3,6125000,160390.149323454,92601.2958872607,398431.21852766,3851046.77366516,2635020.66749047,5066708.43873734
"3","PSTR 1 12","PSTR","1","12","T2","OS Transplant",3,598642.533933333,75421.8699299091,43544.836906818,187358.311383615,949927.394889144,-458326.452436797,2268247.20450956
"4","PSTR 1 13","PSTR","1","13","T0","NS Native",6,2779841.26983333,309144.627312837,126207.765606554,324427.389784453,3996793.56187451,2730713.81810552,5228412.38117285
"5","PSTR 1 13","PSTR","1","13","T0","OS Transplant",6,2779841.26983333,309144.627312837,126207.765606554,324427.389784453,4027221.85573439,2852755.75227527,5297393.19247662
"6","PSTR 1 14","PSTR","1","14","T1","OS Native",6,6321269.8415,900166.105463416,367491.273688953,944666.392899675,4807828.98596751,3315305.33737395,6345646.83464669
"7","PSTR 1 15","PSTR","1","15","T2","OS Native",3,1721212.121,197189.620674385,113847.480577757,489846.173082983,1094113.5466166,-412415.682373515,2536022.94962743
"8","PSTR 1 16","PSTR","1","16","T3","OS Native",3,3302539.68266667,60518.5144677433,34940.3806189079,150336.324048429,4415949.49697776,3144041.56009876,5688327.84486128
"9","PSTR 1 20","PSTR","1","20","T1","NS Transplant",6,4068055.55533333,300600.58209582,122719.673753061,315460.964224832,4503208.51827602,3125192.66826552,5878649.69243008
"10","PSTR 1 21","PSTR","1","21","T2","NS Transplant",6,1151111.11111667,268350.241095917,109553.527172974,281616.306980736,1417823.47984025,-4682.45114010738,2800692.56885919
"11","PSTR 1 22","PSTR","1","22","T3","NS Transplant",3,14485333.3333333,281860.485583441,162732.227225518,700180.261690087,6683276.77171239,5398983.56463277,7876698.35454936
"12","PSTR 1 26","PSTR","1","26","T0","NS Transplant",6,3654210.52616667,1310362.83051965,534953.385447034,1375141.4555423,3988955.87582558,2473816.78683816,5485170.53565279
