"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","TER","ter_mean","terlowerci","terupperci"
"1","T1","3/8/2018","PSTR 1 1","PSTR","P1","1","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,18.82022827,0.011547005,0.008164966,21.6277762,0.064350232,0.037152624,19289.6,NA,0.024177773,NA,0.033461586,0.017554791,0.672222222,3,"PSTR:P1",0.07519415,0.0967924846242577,0.0248974633269183,0.167827468311935
"8","T1","3/7/2018","PSTR 1 8","PSTR","P1","8","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,17.49384211,0,0,18.00646789,0.182722251,0.105494741,12504.8381,NA,0.021832602,NA,0.026047656,0.038483344,2.133333333,3,"PSTR:P1",0.086363602,0.151764934437196,0.0883254226375028,0.21281024203955
"15","T2","9/26/2018","PSTR 1 12","PSTR","P1","12","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,32.11912664,0.01,0.007071068,26.51838546,0.029379772,0.016962419,2864.477828,0.483388894,0.040004598,1.799292896,0.148906998,0.020458116,0.695652174,9,"PSTR:P1",0.209369712,0.135737797515281,0.0651588709752092,0.20592494613364
"16","T2","9/24/2018","PSTR 1 2","PSTR","P1","2","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,40.95518745,0.005773503,0.004082483,34.7308298,0.068678299,0.039651434,25144.21164,0.709288994,0.015386331,1.002030298,0.021736655,0.01810892,2.375,9,"PSTR:P1",0.055231906,0.108114849790963,0.0412393858385418,0.176362161456832
"23","T3","5/30/2019","PSTR P1 3","PSTR","P1","3","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,42.3595092,11.54123188,8.160883326,38.06588179,0.461536692,0.266468334,17536,0.710992471,0.014468596,0.604664519,0.012304837,0.052670221,2.588235294,17,"PSTR:P1",0.079443654,0.122119993583431,0.0652613901259908,0.180500772925504
"30","T3","5/31/2019","PSTR P1 11","PSTR","P1","11","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,40.20052724,0,0,34.21791706,0.28458084,0.164302824,4369.386667,0.583375449,0.01304393,0.759602282,0.016984258,0.021499432,0.961538462,17,"PSTR:P1",0.05152762,0.100306672753725,0.0335734024494116,0.168841096125492
"44","T1","3/8/2018","PSTR 2 1","PSTR","P2","1","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,17.31718039,0.005773503,0.004082483,19.0010463,0.388760194,0.224450803,3529.974026,NA,0.010000034,NA,0.022613471,0.055765088,2.132936508,3,"PSTR:P2",0.088378593,0.0967924846242577,0.0248974633269183,0.167827468311935
"52","T1","3/7/2018","PSTR 2 9","PSTR","P2","9","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,18.22192105,0,0,23.79918922,0.055220137,0.031881361,15347.74701,NA,0.018750621,NA,0.040294559,0.035610298,1.388888889,3,"PSTR:P2",0.094655478,0.151764934437196,0.0883254226375028,0.21281024203955
"59","T2","9/24/2018","PSTR 2 2","PSTR","P2","2","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,37.72904348,0.01,0.007071068,36.30716627,0.175243783,0.101177046,20547.23232,0.63543664,0.005710674,1.637781197,0.014718753,0.02944774,2.087719298,9,"PSTR:P2",0.049877167,0.108114849790963,0.0412393858385418,0.176362161456832
"66","T3","5/30/2019","PSTR P2 3","PSTR","P2","3","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,48.68080986,0.01,0.007071068,51.55212003,1.584454126,0.914785016,13152,0.72447935,0.009549856,1.406275031,0.018537069,0.067556116,5.125,17,"PSTR:P2",0.095643041,0.122119993583431,0.0652613901259908,0.180500772925504
