timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,parent colony length,parent colony width,parent colony height ,parent colony area,parent colony volume,bw,bw_sd,bw_se,surface area,sa_sd,sa_se,chla,symb_den,symb_sd,symb_se,carbs_sa,carbs_dw,lipids_sa,lipids_dw,protein_dw,protein_sa
T0,12/11/2017,PSTR 1 1,PSTR,P1,1,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,16.99472296,0.014142136,0.01,21.85693821,0.028311047,0.01634539,,,,,,,,,,
T0,12/11/2017,PSTR 1 2,PSTR,P1,2,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,28.50501319,0.028284271,0.02,20.92004351,0.266249295,0.153719102,,,,,,,,,,
T0,12/11/2017,PSTR 1 3,PSTR,P1,3,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,16.50844327,0.007071068,0.005,17.12327707,0.192485165,0.111131362,,,,,,,,,,
T0,12/11/2017,PSTR 1 4,PSTR,P1,4,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,13.15963061,0.021213203,0.015,12.47212002,0.115079269,0.066441047,,,,,,,,,,
T0,12/11/2017,PSTR 1 5,PSTR,P1,5,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,14.14722955,0,0,11.49450912,0.029319816,0.016927804,,,,,,,,,,
T0,12/11/2017,PSTR 1 6,PSTR,P1,6,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,22.20343008,0.007071068,0.005,13.84077895,0.004490647,0.002592676,,,,,,,,,,
T0,12/11/2017,PSTR 1 7,PSTR,P1,7,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,27.6828496,0.014142136,0.01,20.37046849,0.108481638,0.062631903,,,,,,,,,,
T0,12/11/2017,PSTR 1 8,PSTR,P1,8,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,16.07730871,0.007071068,0.005,11.79705841,0.049843997,0.028777445,,,,,,,,,,
T0,12/11/2017,PSTR 1 9,PSTR,P1,9,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,15.44063325,0,0,13.18094376,0.056327782,0.03252086,,,,,,,,,,
T0,12/11/2017,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,18.62401055,0.007071068,0.005,13.96505879,0.071229235,0.041124218,,,,,,,,,,
