timepoint,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,parent colony length,parent colony width,parent colony height ,parent colony area,parent colony volume,bw,surface area,chla,symb_den,carbs_dw,lipids_dw,protein_dw,d15N_A,d13C_A
T1,PSTR 3 1,PSTR,P3,1,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,23,15,690,10350,18.27629597,26.45144006,12.604,6375625,0.013891772,0.017982413,0.033474606,7,-13.5
T1,PSTR 1 1,PSTR,P1,1,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,14,8,266,2128,18.82022827,21.6277762,19.2896,8862000,0.024177773,0.033461586,0.017554791,6.2,-15
T0,PSTR 3 13,PSTR,P3,13,NSP3,NS,control,control,control,NS control,N,N,alive,30,23,15,690,10350,,,5.302552381,1812857.143,0.011568585,0.05031339,0.025475455,6.1,-16.5
T1,PSTR 1 8,PSTR,P1,8,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,17.49384211,18.00646789,12.5048381,4596428.571,0.021832602,0.026047656,0.038483344,6,-15
T1,SSID 3 1,SSID,S3,1,NSS3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,26,15,9,390,3510,32.45436842,23.79647896,1.985480992,2437355.372,0.032516565,0.056888562,0.033326789,6,-13.7
T0,PSTR 5 13,PSTR,P5,13,NSP5,NS,control,control,control,NS control,N,N,alive,19,13,9,247,2223,,,3.719757576,4448080.808,0.020859613,0.031276611,0.030192428,5.9,-14.7
T0,SSID 3 13,SSID,S3,13,NSS3,NS,control,control,control,NS control,N,N,alive,26,15,9,390,3510,,,13.7622528,2700066.667,0.045143557,0.041968939,0.065078791,5.8,-13.6
T1,SSID 3 7,SSID,S3,7,NSS3,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,Y,alive,26,15,9,390,3510,23.32460999,18.58700664,1.69818624,945777.7777,0.038612936,0.046885064,0.029457874,5.8,-11.7
T0,PSTR 1 13,PSTR,P1,13,NSP1,NS,control,control,control,NS control,N,N,alive,19,14,8,266,2128,,,21.83649524,2779841.27,0.017029635,0.044183507,0.066098475,5.7,-16.1
T1,SSID 5 10,SSID,S5,10,NSS5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,30,22,17,660,11220,24.97742982,18.92757845,1.793393231,1178974.359,0.026273718,0.041367324,0.045379359,5.7,-12.8
T1,PSTR 6 7,PSTR,P6,7,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,20,18,15,360,5400,18.18265845,24.95794691,3.531112727,6086969.697,0.07925894,0.223395276,0.031794761,5.6,-13.9
T0,PSTR 4 13,PSTR,P4,13,NSP4,NS,control,control,control,NS control,N,N,alive,20,18,17,360,6120,,,11.55705905,3027968.254,0.023056238,0.045564987,0.029972564,5.6,-14.2
T2,PSTR 1 12,PSTR,P1,12,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,19,14,8,266,2128,32.11912664,26.51838546,2.864477828,598642.5339,0.040004598,0.148906998,0.020458116,5.6,-15.2
T1,SSID 1 1,SSID,S1,1,NSS1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,18,15,396,5940,30.07333333,23.7442567,4.6306,2816015.625,0.018836593,0.007599249,0.036944409,5.6,-11.3
T2,PSTR 6 12,PSTR,P6,12,NSP6,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,20,18,15,360,5400,15.2562228,18.30209316,6.172672,689422.2222,0.013918124,0.005631075,0.026830272,5.5,-12.9
T1,PSTR 2 9,PSTR,P2,9,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,22,19,10,418,4180,18.22192105,23.79918922,15.34774701,4644444.445,0.018750621,0.040294559,0.035610298,5.5,-13.7
T1,PSTR 3 7,PSTR,P3,7,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,30,23,15,690,10350,17.52957968,18.04824583,4.658,4670572.917,0.011287023,0.022211884,0.04875121,5.5,-14
T0,SSID 5 13,SSID,S5,13,NSS5,NS,control,control,control,NS control,N,N,alive,30,22,17,660,11220,,,5.632775758,2049090.909,0.09891778,0.028846668,0.064856314,5.5,-13.3
T1,SSID 2 1,SSID,S2,1,NSS2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,23,21,15,483,7245,30.25677788,25.71014441,3.586909091,2931344.697,0.032082411,0.037775798,0.031609131,5.5,-11
T1,PSTR 5 1,PSTR,P5,1,NSP5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,19,13,9,247,2223,20.11257669,21.54909552,15.38385455,6586666.667,0.018985414,0.062349869,0.070808498,5.4,-13.2
T1,SSID 6 7,SSID,S6,7,NSS6,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,35,20,18,700,12600,25.53524934,26.866438,2.112290909,1012272.727,0.100539158,0.126894932,0.256371327,5.4,-13.7
T1,PSTR 2 1,PSTR,P2,1,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,22,19,10,418,4180,17.31718039,19.0010463,3.529974026,4672889.61,0.010000034,0.022613471,0.055765088,5.3,-14.9
T2,PSTR 2 12,PSTR,P2,12,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,22,19,10,418,4180,32.58141981,26.37817148,11.24901926,785679.0124,0.152121566,1.7,0.035515221,5.3,-15.3
T1,SSID 5 1,SSID,S5,1,NSS5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,22,17,660,11220,26.16666667,25.26782373,2.118933333,1675555.556,0.043739545,0.065808503,0.054040308,5.3,-13.1
T0,SSID 1 13,SSID,S1,13,NSS1,NS,control,control,control,NS control,N,N,alive,22,18,15,396,5940,,,8.415714286,4290476.191,0.034505497,0.01351213,0.025838199,5.2,-13.2
T2,PSTR 6 15,PSTR,P6,15,OSP6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,12,11.5,228,2622,49.55930131,40.31544748,12.02789744,1864423.077,0.065317028,0.047683622,0.018596522,5.2,-13.4
T2,SSID 3 2,SSID,S3,2,NSS3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,26,15,9,390,3510,31.97252843,21.98787061,7.434946606,836802.4132,0.029630914,0.030318039,0.129084867,5.2,-13.6
T2,PSTR 6 2,PSTR,P6,2,NSP6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,20,18,15,360,5400,27.29151356,30.24270743,11.43278431,1237745.098,0.030370954,0.12350323,0.019834344,5.2,-13.7
T1,PSTR 6 20,PSTR,P6,20,OSP6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,12,11.5,228,2622,21.11524059,31.04190093,12.49248108,4114590.348,0.047833674,0.066661594,0.02229809,5.2,-14.1
T2,SSID 5 2,SSID,S5,2,NSS5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,22,17,660,11220,29.7943958,21.97686104,5.21696,837777.7777,0.049543872,0.030295435,0.166226234,5.1,-12.9
T2,PSTR 4 21,PSTR,P4,21,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,26,13,13,338,4394,22.91373239,23.2267468,10.26027922,1066666.667,0.01151817,0.023966135,0.087301587,5.1,-14.2
