species,colony,fragment,coralID,time_point,length (cm),width (cm),surface_area (cm^2),home_reef,transplant,airbrushed_volume (mL),slurry_volume(ml),form:iod_added(ml),count1,count2,count3,count4,count5,count6,count7,count8,total_symbiont_1,total_symbiont_2,total_symbiont_3,total_symbiont_4,total_symbiont_5,total_symbiont_6,total_symbiont_7,total_symbiont_8,symbiont_density_1,symbiont_density_2,symbiont_density_3,symbiont_density_4,symbiont_density_5,symbiont_density_6,symbiont_density_7,symbiont_density_8
PSTR,1,13,PSTR 1 13,T0,2.1,2,4.2,NS,control,42,1,0.2,25,29,28,31,30,23,,,10550000,12238000,11816000,13082000,12660000,9706000,,,2511904.762,2913809.524,2813333.333,3114761.905,3014285.714,2310952.381,,
PSTR,1,26,PSTR 1 26,T0,1.9,1,1.9,OS,control,26,1,0.2,12,36,32,20,35,24,,,3144000,9432000,8384000,5240000,9170000,6288000,,,1654736.842,4964210.526,4412631.579,2757894.737,4826315.789,3309473.684,,
PSTR,2,13,PSTR 2 13,T0,1.8,2,1.8,NS,control,22.5,1,0.2,29,19,28,28,21,26,,,6583000,4313000,6356000,6356000,4767000,5902000,,,3657222.222,2396111.111,3531111.111,3531111.111,2648333.333,3278888.889,,
PSTR,3,13,PSTR 3 13,T0,3,1.4,4.2,NS,control,16,1,0.2,33,46,48,45,37,62,58,,5346000,7452000,7776000,7290000,5994000,10044000,9396000,,1272857.143,1774285.714,1851428.571,1735714.286,1427142.857,2391428.571,2237142.857,
PSTR,4,26,PSTR 4 26,T0,2.5,1,2.5,OS,control,24,1,0.2,64,50,70,40,70,46,33,40,15488000,12100000,16940000,9680000,16940000,11132000,7986000,9680000,6195200,4840000,6776000,3872000,6776000,4452800,3194400,3872000
PSTR,4,13,PSTR 4 13,T0,3.5,1.5,5.25,NS,control,37.5,1,0.2,36,35,40,43,43,56,,,13572000,13195000,15080000,16211000,16211000,21112000,,,2585142.857,2513333.333,2872380.952,3087809.524,3087809.524,4021333.333,,
PSTR,5,13,PSTR 5 13,T0,3.3,1.5,4.95,NS,control,32.5,1,0.2,72,61,81,62,71,57,,,23544000,19947000,26487000,20274000,23217000,18639000,,,4756363.636,4029696.97,5350909.091,4095757.576,4690303.03,3765454.545,,
PSTR,5,26,PSTR 5 26,T0,3.3,1.5,4.95,OS,control,31,1,0.2,26,49,45,54,49,45,,,8112000,15288000,14040000,16848000,15288000,14040000,,,1638787.879,3088484.848,2836363.636,3403636.364,3088484.848,2836363.636,,
PSTR,6,26,PSTR 6 26,T0,1.5,1,1.5,OS,control,25,1,0.2,39,18,27,28,25,33,,,9828000,4536000,6804000,7056000,6300000,8316000,,,6552000,3024000,4536000,4704000,4200000,5544000,,
PSTR,6,13,PSTR 6 13,T0,2,1.8,1.8,NS,control,32.5,1,0.2,39,78,60,62,36,28,45,39,12753000,25506000,19620000,20274000,11772000,9156000,14715000,12753000,7085000,14170000,10900000,11263333.33,6540000,5086666.667,8175000,7085000
SSID,1,26,SSID 1 26,T0,3,1.1,3.3,OS,control,14,1,0.2,56,55,53,50,59,56,,,7952000,7810000,7526000,7100000,8378000,7952000,,,2409696.97,2366666.667,2280606.061,2151515.152,2538787.879,2409696.97,,
SSID,1,13,SSID 1 13,T0,3.2,0.7,2.24,NS,control,13.5,0.5,0.1,90,58,67,68,70,71,,,12240000,7888000,9112000,9248000,9520000,9656000,,,5464285.714,3521428.571,4067857.143,4128571.429,4250000,4310714.286,,
SSID,2,13,SSID 2 13,T0,4,1.9,7.6,NS,control,13,0.5,0.1,61,35,44,41,33,38,,,7991000,4585000,5764000,5371000,4323000,4978000,,,1051447.368,603289.4737,758421.0526,706710.5263,568815.7895,655000,,
SSID,3,13,SSID 3 13,T0,2.5,1,2.5,NS,control,10,0.5,0.1,64,72,87,57,61,60,,,6464000,7272000,8787000,5757000,6161000,6060000,,,2585600,2908800,3514800,2302800,2464400,2424000,,
SSID,3,26,SSID 3 26,T0,3,0.6,1.8,OS,control,20,1,0.2,19,22,20,24,19,19,,,3838000,4444000,4040000,4848000,3838000,3838000,,,2132222.222,2468888.889,2244444.444,2693333.333,2132222.222,2132222.222,,
SSID,4,26,SSID 4 26,T0,1.9,0.8,1.52,OS,control,8,0.5,0.1,41,43,38,35,37,32,,,3321000,3483000,3078000,2835000,2997000,2592000,,,2184868.421,2291447.368,2025000,1865131.579,1971710.526,1705263.158,,
SSID,4,13,SSID 4 13,T0,1.7,2.5,2.125,NS,control,13,0.5,0.1,66,85,61,53,47,56,55,,8646000,11135000,7991000,6943000,6157000,7336000,7205000,,4068705.882,5240000,3760470.588,3267294.118,2897411.765,3452235.294,3390588.235,
SSID,5,13,SSID 5 13,T0,1.5,1.1,1.65,NS,control,16,0.5,0.1,25,24,17,20,18,22,,,4025000,3864000,2737000,3220000,2898000,3542000,,,2439393.939,2341818.182,1658787.879,1951515.152,1756363.636,2146666.667,,
SSID,5,26,SSID 5 26,T0,3.5,1.3,4.55,OS,control,12.5,0.5,0.1,22,21,19,17,16,23,,,2772000,2646000,2394000,2142000,2016000,2898000,,,609230.7692,581538.4615,526153.8462,470769.2308,443076.9231,636923.0769,,
SSID,6,13,SSID 6 13,T0,1.2,0.8,0.96,NS,control,11,0.5,0.1,27,26,24,24,21,20,,,2997000,2886000,2664000,2664000,2331000,2220000,,,3121875,3006250,2775000,2775000,2428125,2312500,,
