datetime,date,time,latitude,longitude,analysed_sst,analysis_error
2002-06-01T09:00:00Z,6/1/2002,09:00:00Z,16.6,-88.34,29.246,0.41
2002-06-02T09:00:00Z,6/2/2002,09:00:00Z,16.6,-88.34,29.205,0.41
2002-06-03T09:00:00Z,6/3/2002,09:00:00Z,16.6,-88.34,29.107,0.41
2002-06-04T09:00:00Z,6/4/2002,09:00:00Z,16.6,-88.34,28.328,0.41
2002-06-05T09:00:00Z,6/5/2002,09:00:00Z,16.6,-88.34,28.281,0.41
2002-06-06T09:00:00Z,6/6/2002,09:00:00Z,16.6,-88.34,28.119,0.41
2002-06-07T09:00:00Z,6/7/2002,09:00:00Z,16.6,-88.34,29.465,0.41
2002-06-08T09:00:00Z,6/8/2002,09:00:00Z,16.6,-88.34,29.676,0.39
2002-06-09T09:00:00Z,6/9/2002,09:00:00Z,16.6,-88.34,29.68,0.39
2002-06-10T09:00:00Z,6/10/2002,09:00:00Z,16.6,-88.34,29.698,0.4
2002-06-11T09:00:00Z,6/11/2002,09:00:00Z,16.6,-88.34,29.471,0.41
2002-06-12T09:00:00Z,6/12/2002,09:00:00Z,16.6,-88.34,29.34,0.41
2002-06-13T09:00:00Z,6/13/2002,09:00:00Z,16.6,-88.34,29.5,0.41
2002-06-14T09:00:00Z,6/14/2002,09:00:00Z,16.6,-88.34,29.353,0.41
2002-06-15T09:00:00Z,6/15/2002,09:00:00Z,16.6,-88.34,29.372,0.41
2002-06-16T09:00:00Z,6/16/2002,09:00:00Z,16.6,-88.34,29.245,0.41
2002-06-17T09:00:00Z,6/17/2002,09:00:00Z,16.6,-88.34,28.887,0.41
2002-06-18T09:00:00Z,6/18/2002,09:00:00Z,16.6,-88.34,28.848,0.41
2002-06-19T09:00:00Z,6/19/2002,09:00:00Z,16.6,-88.34,28.86,0.41
2002-06-20T09:00:00Z,6/20/2002,09:00:00Z,16.6,-88.34,28.828,0.41
2002-06-21T09:00:00Z,6/21/2002,09:00:00Z,16.6,-88.34,29.418,0.41
2002-06-22T09:00:00Z,6/22/2002,09:00:00Z,16.6,-88.34,29.659,0.4
2002-06-23T09:00:00Z,6/23/2002,09:00:00Z,16.6,-88.34,29.818,0.4
2002-06-24T09:00:00Z,6/24/2002,09:00:00Z,16.6,-88.34,29.749,0.4
2002-06-25T09:00:00Z,6/25/2002,09:00:00Z,16.6,-88.34,29.557,0.41
2002-06-26T09:00:00Z,6/26/2002,09:00:00Z,16.6,-88.34,29.04,0.41
2002-06-27T09:00:00Z,6/27/2002,09:00:00Z,16.6,-88.34,29.033,0.41
2002-06-28T09:00:00Z,6/28/2002,09:00:00Z,16.6,-88.34,28.96,0.41
2002-06-29T09:00:00Z,6/29/2002,09:00:00Z,16.6,-88.34,29.025,0.41
2002-06-30T09:00:00Z,6/30/2002,09:00:00Z,16.6,-88.34,29.101,0.41
2002-07-01T09:00:00Z,7/1/2002,09:00:00Z,16.6,-88.34,29.069,0.4
2002-07-02T09:00:00Z,7/2/2002,09:00:00Z,16.6,-88.34,28.976,0.4
2002-07-03T09:00:00Z,7/3/2002,09:00:00Z,16.6,-88.34,28.84,0.41
2002-07-04T09:00:00Z,7/4/2002,09:00:00Z,16.6,-88.34,28.712,0.41
2002-07-05T09:00:00Z,7/5/2002,09:00:00Z,16.6,-88.34,29.07,0.41
2002-07-06T09:00:00Z,7/6/2002,09:00:00Z,16.6,-88.34,29.409,0.41
2002-07-07T09:00:00Z,7/7/2002,09:00:00Z,16.6,-88.34,28.913,0.41
2002-07-08T09:00:00Z,7/8/2002,09:00:00Z,16.6,-88.34,28.814,0.41
2002-07-09T09:00:00Z,7/9/2002,09:00:00Z,16.6,-88.34,28.868,0.41
2002-07-10T09:00:00Z,7/10/2002,09:00:00Z,16.6,-88.34,28.637,0.41
2002-07-11T09:00:00Z,7/11/2002,09:00:00Z,16.6,-88.34,28.525,0.41
2002-07-12T09:00:00Z,7/12/2002,09:00:00Z,16.6,-88.34,28.871,0.41
2002-07-13T09:00:00Z,7/13/2002,09:00:00Z,16.6,-88.34,28.663,0.41
2002-07-14T09:00:00Z,7/14/2002,09:00:00Z,16.6,-88.34,29.205,0.4
2002-07-15T09:00:00Z,7/15/2002,09:00:00Z,16.6,-88.34,29.059,0.39
2002-07-16T09:00:00Z,7/16/2002,09:00:00Z,16.6,-88.34,29.088,0.38
2002-07-17T09:00:00Z,7/17/2002,09:00:00Z,16.6,-88.34,29.18,0.39
2002-07-18T09:00:00Z,7/18/2002,09:00:00Z,16.6,-88.34,29.419,0.39
2002-07-19T09:00:00Z,7/19/2002,09:00:00Z,16.6,-88.34,29.884,0.38
2002-07-20T09:00:00Z,7/20/2002,09:00:00Z,16.6,-88.34,29.756,0.38
2002-07-21T09:00:00Z,7/21/2002,09:00:00Z,16.6,-88.34,29.751,0.39
2002-07-22T09:00:00Z,7/22/2002,09:00:00Z,16.6,-88.34,28.587,0.4
2002-07-23T09:00:00Z,7/23/2002,09:00:00Z,16.6,-88.34,28.69,0.39
2002-07-24T09:00:00Z,7/24/2002,09:00:00Z,16.6,-88.34,28.991,0.39
2002-07-25T09:00:00Z,7/25/2002,09:00:00Z,16.6,-88.34,29.074,0.39
2002-07-26T09:00:00Z,7/26/2002,09:00:00Z,16.6,-88.34,29.226,0.4
2002-07-27T09:00:00Z,7/27/2002,09:00:00Z,16.6,-88.34,28.96,0.41
2002-07-28T09:00:00Z,7/28/2002,09:00:00Z,16.6,-88.34,28.928,0.4
2002-07-29T09:00:00Z,7/29/2002,09:00:00Z,16.6,-88.34,28.893,0.4
2002-07-30T09:00:00Z,7/30/2002,09:00:00Z,16.6,-88.34,28.908,0.41
2002-07-31T09:00:00Z,7/31/2002,09:00:00Z,16.6,-88.34,29.023,0.41
2002-08-01T09:00:00Z,8/1/2002,09:00:00Z,16.6,-88.34,29.932,0.41
2002-08-02T09:00:00Z,8/2/2002,09:00:00Z,16.6,-88.34,28.095,0.4
2002-08-03T09:00:00Z,8/3/2002,09:00:00Z,16.6,-88.34,29.033,0.4
2002-08-04T09:00:00Z,8/4/2002,09:00:00Z,16.6,-88.34,29.443,0.39
2002-08-05T09:00:00Z,8/5/2002,09:00:00Z,16.6,-88.34,29.523,0.4
2002-08-06T09:00:00Z,8/6/2002,09:00:00Z,16.6,-88.34,30.405,0.4
2002-08-07T09:00:00Z,8/7/2002,09:00:00Z,16.6,-88.34,30.12,0.39
2002-08-08T09:00:00Z,8/8/2002,09:00:00Z,16.6,-88.34,30.1,0.39
2002-08-09T09:00:00Z,8/9/2002,09:00:00Z,16.6,-88.34,29.878,0.39
2002-08-10T09:00:00Z,8/10/2002,09:00:00Z,16.6,-88.34,29.608,0.4
2002-08-11T09:00:00Z,8/11/2002,09:00:00Z,16.6,-88.34,29.237,0.41
2002-08-12T09:00:00Z,8/12/2002,09:00:00Z,16.6,-88.34,28.981,0.4
2002-08-13T09:00:00Z,8/13/2002,09:00:00Z,16.6,-88.34,28.678,0.39
2002-08-14T09:00:00Z,8/14/2002,09:00:00Z,16.6,-88.34,28.68,0.39
2002-08-15T09:00:00Z,8/15/2002,09:00:00Z,16.6,-88.34,28.904,0.4
2002-08-16T09:00:00Z,8/16/2002,09:00:00Z,16.6,-88.34,28.88,0.4
2002-08-17T09:00:00Z,8/17/2002,09:00:00Z,16.6,-88.34,28.957,0.4
2002-08-18T09:00:00Z,8/18/2002,09:00:00Z,16.6,-88.34,29.086,0.4
2002-08-19T09:00:00Z,8/19/2002,09:00:00Z,16.6,-88.34,29.295,0.41
2002-08-20T09:00:00Z,8/20/2002,09:00:00Z,16.6,-88.34,29.237,0.41
2002-08-21T09:00:00Z,8/21/2002,09:00:00Z,16.6,-88.34,29.152,0.41
2002-08-22T09:00:00Z,8/22/2002,09:00:00Z,16.6,-88.34,29.208,0.41
2002-08-23T09:00:00Z,8/23/2002,09:00:00Z,16.6,-88.34,28.634,0.41
2002-08-24T09:00:00Z,8/24/2002,09:00:00Z,16.6,-88.34,28.225,0.41
2002-08-25T09:00:00Z,8/25/2002,09:00:00Z,16.6,-88.34,28.616,0.41
2002-08-26T09:00:00Z,8/26/2002,09:00:00Z,16.6,-88.34,29.01,0.4
2002-08-27T09:00:00Z,8/27/2002,09:00:00Z,16.6,-88.34,29.434,0.4
2002-08-28T09:00:00Z,8/28/2002,09:00:00Z,16.6,-88.34,29.461,0.4
2002-08-29T09:00:00Z,8/29/2002,09:00:00Z,16.6,-88.34,28.518,0.41
2002-08-30T09:00:00Z,8/30/2002,09:00:00Z,16.6,-88.34,28.017,0.41
2002-08-31T09:00:00Z,8/31/2002,09:00:00Z,16.6,-88.34,27.747,0.41
2002-09-01T09:00:00Z,9/1/2002,09:00:00Z,16.6,-88.34,27.904,0.41
2002-09-02T09:00:00Z,9/2/2002,09:00:00Z,16.6,-88.34,28.02,0.41
2002-09-03T09:00:00Z,9/3/2002,09:00:00Z,16.6,-88.34,28.517,0.4
2002-09-04T09:00:00Z,9/4/2002,09:00:00Z,16.6,-88.34,28.542,0.39
2002-09-05T09:00:00Z,9/5/2002,09:00:00Z,16.6,-88.34,29.428,0.39
2002-09-06T09:00:00Z,9/6/2002,09:00:00Z,16.6,-88.34,29.534,0.39
2002-09-07T09:00:00Z,9/7/2002,09:00:00Z,16.6,-88.34,29.53,0.4
2002-09-08T09:00:00Z,9/8/2002,09:00:00Z,16.6,-88.34,29.473,0.41
2002-09-09T09:00:00Z,9/9/2002,09:00:00Z,16.6,-88.34,29.699,0.41
2002-09-10T09:00:00Z,9/10/2002,09:00:00Z,16.6,-88.34,29.778,0.4
2002-09-11T09:00:00Z,9/11/2002,09:00:00Z,16.6,-88.34,29.718,0.39
2002-09-12T09:00:00Z,9/12/2002,09:00:00Z,16.6,-88.34,29.638,0.4
2002-09-13T09:00:00Z,9/13/2002,09:00:00Z,16.6,-88.34,30.415,0.39
2002-09-14T09:00:00Z,9/14/2002,09:00:00Z,16.6,-88.34,30.467,0.39
2002-09-15T09:00:00Z,9/15/2002,09:00:00Z,16.6,-88.34,29.979,0.39
2002-09-16T09:00:00Z,9/16/2002,09:00:00Z,16.6,-88.34,29.955,0.39
2002-09-17T09:00:00Z,9/17/2002,09:00:00Z,16.6,-88.34,29.753,0.39
2002-09-18T09:00:00Z,9/18/2002,09:00:00Z,16.6,-88.34,29.952,0.39
2002-09-19T09:00:00Z,9/19/2002,09:00:00Z,16.6,-88.34,30.502,0.39
2002-09-20T09:00:00Z,9/20/2002,09:00:00Z,16.6,-88.34,30.641,0.39
2002-09-21T09:00:00Z,9/21/2002,09:00:00Z,16.6,-88.34,30.283,0.41
2002-09-22T09:00:00Z,9/22/2002,09:00:00Z,16.6,-88.34,29.851,0.41
2002-09-23T09:00:00Z,9/23/2002,09:00:00Z,16.6,-88.34,30.084,0.41
2002-09-24T09:00:00Z,9/24/2002,09:00:00Z,16.6,-88.34,29.788,0.41
2002-09-25T09:00:00Z,9/25/2002,09:00:00Z,16.6,-88.34,29.244,0.41
2002-09-26T09:00:00Z,9/26/2002,09:00:00Z,16.6,-88.34,29.216,0.4
2002-09-27T09:00:00Z,9/27/2002,09:00:00Z,16.6,-88.34,29.223,0.4
2002-09-28T09:00:00Z,9/28/2002,09:00:00Z,16.6,-88.34,29.614,0.41
2002-09-29T09:00:00Z,9/29/2002,09:00:00Z,16.6,-88.34,29.895,0.41
2002-09-30T09:00:00Z,9/30/2002,09:00:00Z,16.6,-88.34,30.182,0.41
2002-10-01T09:00:00Z,10/1/2002,09:00:00Z,16.6,-88.34,30.011,0.41
2002-10-02T09:00:00Z,10/2/2002,09:00:00Z,16.6,-88.34,30.019,0.39
2002-10-03T09:00:00Z,10/3/2002,09:00:00Z,16.6,-88.34,30.286,0.39
2002-10-04T09:00:00Z,10/4/2002,09:00:00Z,16.6,-88.34,30.424,0.39
2002-10-05T09:00:00Z,10/5/2002,09:00:00Z,16.6,-88.34,30.318,0.39
2002-10-06T09:00:00Z,10/6/2002,09:00:00Z,16.6,-88.34,30.056,0.41
2002-10-07T09:00:00Z,10/7/2002,09:00:00Z,16.6,-88.34,29.803,0.41
2002-10-08T09:00:00Z,10/8/2002,09:00:00Z,16.6,-88.34,29.083,0.4
2002-10-09T09:00:00Z,10/9/2002,09:00:00Z,16.6,-88.34,29.054,0.39
2002-10-10T09:00:00Z,10/10/2002,09:00:00Z,16.6,-88.34,29.113,0.39
2002-10-11T09:00:00Z,10/11/2002,09:00:00Z,16.6,-88.34,29.3,0.39
2002-10-12T09:00:00Z,10/12/2002,09:00:00Z,16.6,-88.34,29.329,0.39
2002-10-13T09:00:00Z,10/13/2002,09:00:00Z,16.6,-88.34,29.396,0.39
2002-10-14T09:00:00Z,10/14/2002,09:00:00Z,16.6,-88.34,29.41,0.39
2002-10-15T09:00:00Z,10/15/2002,09:00:00Z,16.6,-88.34,29.594,0.39
2002-10-16T09:00:00Z,10/16/2002,09:00:00Z,16.6,-88.34,29.776,0.39
2002-10-17T09:00:00Z,10/17/2002,09:00:00Z,16.6,-88.34,29.651,0.39
2002-10-18T09:00:00Z,10/18/2002,09:00:00Z,16.6,-88.34,29.732,0.4
2002-10-19T09:00:00Z,10/19/2002,09:00:00Z,16.6,-88.34,29.506,0.4
2002-10-20T09:00:00Z,10/20/2002,09:00:00Z,16.6,-88.34,29.344,0.4
2002-10-21T09:00:00Z,10/21/2002,09:00:00Z,16.6,-88.34,29.125,0.39
2002-10-22T09:00:00Z,10/22/2002,09:00:00Z,16.6,-88.34,29.375,0.39
2002-10-23T09:00:00Z,10/23/2002,09:00:00Z,16.6,-88.34,29.573,0.38
2002-10-24T09:00:00Z,10/24/2002,09:00:00Z,16.6,-88.34,29.496,0.38
2002-10-25T09:00:00Z,10/25/2002,09:00:00Z,16.6,-88.34,29.182,0.39
2002-10-26T09:00:00Z,10/26/2002,09:00:00Z,16.6,-88.34,28.845,0.4
2002-10-27T09:00:00Z,10/27/2002,09:00:00Z,16.6,-88.34,29.068,0.4
2002-10-28T09:00:00Z,10/28/2002,09:00:00Z,16.6,-88.34,29.059,0.39
2002-10-29T09:00:00Z,10/29/2002,09:00:00Z,16.6,-88.34,29.166,0.39
2002-10-30T09:00:00Z,10/30/2002,09:00:00Z,16.6,-88.34,29.114,0.39
2002-10-31T09:00:00Z,10/31/2002,09:00:00Z,16.6,-88.34,29.088,0.4
2002-11-01T09:00:00Z,11/1/2002,09:00:00Z,16.6,-88.34,28.806,0.4
2002-11-02T09:00:00Z,11/2/2002,09:00:00Z,16.6,-88.34,28.622,0.4
2002-11-03T09:00:00Z,11/3/2002,09:00:00Z,16.6,-88.34,28.851,0.4
2002-11-04T09:00:00Z,11/4/2002,09:00:00Z,16.6,-88.34,28.818,0.39
2002-11-05T09:00:00Z,11/5/2002,09:00:00Z,16.6,-88.34,28.495,0.39
2002-11-06T09:00:00Z,11/6/2002,09:00:00Z,16.6,-88.34,29.182,0.39
2002-11-07T09:00:00Z,11/7/2002,09:00:00Z,16.6,-88.34,29.215,0.39
2002-11-08T09:00:00Z,11/8/2002,09:00:00Z,16.6,-88.34,29.2,0.39
2002-11-09T09:00:00Z,11/9/2002,09:00:00Z,16.6,-88.34,29.27,0.39
2002-11-10T09:00:00Z,11/10/2002,09:00:00Z,16.6,-88.34,29.263,0.39
2002-11-11T09:00:00Z,11/11/2002,09:00:00Z,16.6,-88.34,28.914,0.39
2002-11-12T09:00:00Z,11/12/2002,09:00:00Z,16.6,-88.34,28.408,0.39
2002-11-13T09:00:00Z,11/13/2002,09:00:00Z,16.6,-88.34,28.234,0.39
2002-11-14T09:00:00Z,11/14/2002,09:00:00Z,16.6,-88.34,27.612,0.39
2002-11-15T09:00:00Z,11/15/2002,09:00:00Z,16.6,-88.34,27.295,0.39
2002-11-16T09:00:00Z,11/16/2002,09:00:00Z,16.6,-88.34,26.833,0.39
2002-11-17T09:00:00Z,11/17/2002,09:00:00Z,16.6,-88.34,26.692,0.39
2002-11-18T09:00:00Z,11/18/2002,09:00:00Z,16.6,-88.34,26.996,0.41
2002-11-19T09:00:00Z,11/19/2002,09:00:00Z,16.6,-88.34,27.872,0.41
2002-11-20T09:00:00Z,11/20/2002,09:00:00Z,16.6,-88.34,27.732,0.41
2002-11-21T09:00:00Z,11/21/2002,09:00:00Z,16.6,-88.34,27.674,0.41
2002-11-22T09:00:00Z,11/22/2002,09:00:00Z,16.6,-88.34,27.73,0.4
2002-11-23T09:00:00Z,11/23/2002,09:00:00Z,16.6,-88.34,27.628,0.39
2002-11-24T09:00:00Z,11/24/2002,09:00:00Z,16.6,-88.34,27.694,0.4
2002-11-25T09:00:00Z,11/25/2002,09:00:00Z,16.6,-88.34,27.046,0.41
2002-11-26T09:00:00Z,11/26/2002,09:00:00Z,16.6,-88.34,26.656,0.39
2002-11-27T09:00:00Z,11/27/2002,09:00:00Z,16.6,-88.34,27.189,0.39
2002-11-28T09:00:00Z,11/28/2002,09:00:00Z,16.6,-88.34,27.258,0.39
2002-11-29T09:00:00Z,11/29/2002,09:00:00Z,16.6,-88.34,27.271,0.39
2002-11-30T09:00:00Z,11/30/2002,09:00:00Z,16.6,-88.34,27.346,0.4
2002-12-01T09:00:00Z,12/1/2002,09:00:00Z,16.6,-88.34,27.284,0.39
2002-12-02T09:00:00Z,12/2/2002,09:00:00Z,16.6,-88.34,27.251,0.39
2002-12-03T09:00:00Z,12/3/2002,09:00:00Z,16.6,-88.34,27.368,0.4
2002-12-04T09:00:00Z,12/4/2002,09:00:00Z,16.6,-88.34,26.799,0.4
2002-12-05T09:00:00Z,12/5/2002,09:00:00Z,16.6,-88.34,26.146,0.4
2002-12-06T09:00:00Z,12/6/2002,09:00:00Z,16.6,-88.34,26.343,0.4
2002-12-07T09:00:00Z,12/7/2002,09:00:00Z,16.6,-88.34,26.35,0.4
2002-12-08T09:00:00Z,12/8/2002,09:00:00Z,16.6,-88.34,26.383,0.4
2002-12-09T09:00:00Z,12/9/2002,09:00:00Z,16.6,-88.34,27.118,0.41
2002-12-10T09:00:00Z,12/10/2002,09:00:00Z,16.6,-88.34,27.171,0.41
2002-12-11T09:00:00Z,12/11/2002,09:00:00Z,16.6,-88.34,27.617,0.4
2002-12-12T09:00:00Z,12/12/2002,09:00:00Z,16.6,-88.34,27.72,0.39
2002-12-13T09:00:00Z,12/13/2002,09:00:00Z,16.6,-88.34,27.66,0.39
2002-12-14T09:00:00Z,12/14/2002,09:00:00Z,16.6,-88.34,27.533,0.4
2002-12-15T09:00:00Z,12/15/2002,09:00:00Z,16.6,-88.34,27.448,0.41
2002-12-16T09:00:00Z,12/16/2002,09:00:00Z,16.6,-88.34,27.173,0.41
2002-12-17T09:00:00Z,12/17/2002,09:00:00Z,16.6,-88.34,26.711,0.39
2002-12-18T09:00:00Z,12/18/2002,09:00:00Z,16.6,-88.34,26.746,0.39
2002-12-19T09:00:00Z,12/19/2002,09:00:00Z,16.6,-88.34,26.414,0.39
2002-12-20T09:00:00Z,12/20/2002,09:00:00Z,16.6,-88.34,26.889,0.39
2002-12-21T09:00:00Z,12/21/2002,09:00:00Z,16.6,-88.34,26.931,0.39
2002-12-22T09:00:00Z,12/22/2002,09:00:00Z,16.6,-88.34,26.905,0.4
2002-12-23T09:00:00Z,12/23/2002,09:00:00Z,16.6,-88.34,27.509,0.39
2002-12-24T09:00:00Z,12/24/2002,09:00:00Z,16.6,-88.34,27.646,0.39
2002-12-25T09:00:00Z,12/25/2002,09:00:00Z,16.6,-88.34,27.522,0.38
2002-12-26T09:00:00Z,12/26/2002,09:00:00Z,16.6,-88.34,27.473,0.39
2002-12-27T09:00:00Z,12/27/2002,09:00:00Z,16.6,-88.34,26.95,0.41
2002-12-28T09:00:00Z,12/28/2002,09:00:00Z,16.6,-88.34,26.053,0.4
2002-12-29T09:00:00Z,12/29/2002,09:00:00Z,16.6,-88.34,26.025,0.4
2002-12-30T09:00:00Z,12/30/2002,09:00:00Z,16.6,-88.34,26.11,0.4
2002-12-31T09:00:00Z,12/31/2002,09:00:00Z,16.6,-88.34,26.273,0.4
2003-01-01T09:00:00Z,1/1/2003,09:00:00Z,16.6,-88.34,26.244,0.4
2003-01-02T09:00:00Z,1/2/2003,09:00:00Z,16.6,-88.34,26.055,0.39
2003-01-03T09:00:00Z,1/3/2003,09:00:00Z,16.6,-88.34,25.623,0.39
2003-01-04T09:00:00Z,1/4/2003,09:00:00Z,16.6,-88.34,25.656,0.4
2003-01-05T09:00:00Z,1/5/2003,09:00:00Z,16.6,-88.34,25.979,0.41
2003-01-06T09:00:00Z,1/6/2003,09:00:00Z,16.6,-88.34,25.896,0.41
2003-01-07T09:00:00Z,1/7/2003,09:00:00Z,16.6,-88.34,25.001,0.4
2003-01-08T09:00:00Z,1/8/2003,09:00:00Z,16.6,-88.34,25.163,0.39
2003-01-09T09:00:00Z,1/9/2003,09:00:00Z,16.6,-88.34,25.047,0.39
2003-01-10T09:00:00Z,1/10/2003,09:00:00Z,16.6,-88.34,25.763,0.4
2003-01-11T09:00:00Z,1/11/2003,09:00:00Z,16.6,-88.34,25.799,0.41
2003-01-12T09:00:00Z,1/12/2003,09:00:00Z,16.6,-88.34,26.198,0.41
2003-01-13T09:00:00Z,1/13/2003,09:00:00Z,16.6,-88.34,26.279,0.41
2003-01-14T09:00:00Z,1/14/2003,09:00:00Z,16.6,-88.34,26.323,0.41
2003-01-15T09:00:00Z,1/15/2003,09:00:00Z,16.6,-88.34,25.979,0.41
2003-01-16T09:00:00Z,1/16/2003,09:00:00Z,16.6,-88.34,25.868,0.41
2003-01-17T09:00:00Z,1/17/2003,09:00:00Z,16.6,-88.34,25.738,0.41
2003-01-18T09:00:00Z,1/18/2003,09:00:00Z,16.6,-88.34,25.321,0.41
2003-01-19T09:00:00Z,1/19/2003,09:00:00Z,16.6,-88.34,25.886,0.41
2003-01-20T09:00:00Z,1/20/2003,09:00:00Z,16.6,-88.34,26.198,0.41
2003-01-21T09:00:00Z,1/21/2003,09:00:00Z,16.6,-88.34,25.951,0.41
2003-01-22T09:00:00Z,1/22/2003,09:00:00Z,16.6,-88.34,26.041,0.41
2003-01-23T09:00:00Z,1/23/2003,09:00:00Z,16.6,-88.34,25.412,0.41
2003-01-24T09:00:00Z,1/24/2003,09:00:00Z,16.6,-88.34,25.312,0.41
2003-01-25T09:00:00Z,1/25/2003,09:00:00Z,16.6,-88.34,25.245,0.41
2003-01-26T09:00:00Z,1/26/2003,09:00:00Z,16.6,-88.34,25.759,0.41
2003-01-27T09:00:00Z,1/27/2003,09:00:00Z,16.6,-88.34,25.735,0.41
2003-01-28T09:00:00Z,1/28/2003,09:00:00Z,16.6,-88.34,25.957,0.41
2003-01-29T09:00:00Z,1/29/2003,09:00:00Z,16.6,-88.34,26.18,0.41
2003-01-30T09:00:00Z,1/30/2003,09:00:00Z,16.6,-88.34,26.095,0.41
2003-01-31T09:00:00Z,1/31/2003,09:00:00Z,16.6,-88.34,26.223,0.41
2003-02-01T09:00:00Z,2/1/2003,09:00:00Z,16.6,-88.34,25.4,0.41
2003-02-02T09:00:00Z,2/2/2003,09:00:00Z,16.6,-88.34,25.597,0.41
2003-02-03T09:00:00Z,2/3/2003,09:00:00Z,16.6,-88.34,24.774,0.41
2003-02-04T09:00:00Z,2/4/2003,09:00:00Z,16.6,-88.34,25.213,0.4
2003-02-05T09:00:00Z,2/5/2003,09:00:00Z,16.6,-88.34,25.23,0.39
2003-02-06T09:00:00Z,2/6/2003,09:00:00Z,16.6,-88.34,25.146,0.39
2003-02-07T09:00:00Z,2/7/2003,09:00:00Z,16.6,-88.34,26.274,0.4
