Date,Month,Day,Year,Time (GMT),temp,site
12/11/2017,12,11,2017,3:00:00 PM,26.524,False Caye
12/11/2017,12,11,2017,3:15:00 PM,26.549,False Caye
12/11/2017,12,11,2017,3:30:00 PM,26.598,False Caye
12/11/2017,12,11,2017,3:45:00 PM,26.671,False Caye
12/11/2017,12,11,2017,4:00:00 PM,26.744,False Caye
12/11/2017,12,11,2017,4:15:00 PM,26.769,False Caye
12/11/2017,12,11,2017,4:30:00 PM,26.842,False Caye
12/11/2017,12,11,2017,4:45:00 PM,26.891,False Caye
12/11/2017,12,11,2017,5:00:00 PM,26.916,False Caye
12/11/2017,12,11,2017,5:15:00 PM,26.916,False Caye
12/11/2017,12,11,2017,5:30:00 PM,26.94,False Caye
12/11/2017,12,11,2017,5:45:00 PM,26.916,False Caye
12/11/2017,12,11,2017,6:00:00 PM,26.916,False Caye
12/11/2017,12,11,2017,6:15:00 PM,26.891,False Caye
12/11/2017,12,11,2017,6:30:00 PM,26.891,False Caye
12/11/2017,12,11,2017,6:45:00 PM,26.916,False Caye
12/11/2017,12,11,2017,7:00:00 PM,26.916,False Caye
12/11/2017,12,11,2017,7:15:00 PM,26.916,False Caye
12/11/2017,12,11,2017,7:30:00 PM,26.916,False Caye
12/11/2017,12,11,2017,7:45:00 PM,26.916,False Caye
12/11/2017,12,11,2017,8:00:00 PM,26.916,False Caye
12/11/2017,12,11,2017,8:15:00 PM,26.891,False Caye
12/11/2017,12,11,2017,8:30:00 PM,26.867,False Caye
12/11/2017,12,11,2017,8:45:00 PM,26.842,False Caye
12/11/2017,12,11,2017,9:00:00 PM,26.842,False Caye
12/11/2017,12,11,2017,9:15:00 PM,26.793,False Caye
12/11/2017,12,11,2017,9:30:00 PM,26.769,False Caye
12/11/2017,12,11,2017,9:45:00 PM,26.769,False Caye
12/11/2017,12,11,2017,10:00:00 PM,26.744,False Caye
12/11/2017,12,11,2017,10:15:00 PM,26.744,False Caye
12/11/2017,12,11,2017,10:30:00 PM,26.72,False Caye
12/11/2017,12,11,2017,10:45:00 PM,26.695,False Caye
12/11/2017,12,11,2017,11:00:00 PM,26.646,False Caye
12/11/2017,12,11,2017,11:15:00 PM,26.622,False Caye
12/11/2017,12,11,2017,11:30:00 PM,26.598,False Caye
12/11/2017,12,11,2017,11:45:00 PM,26.573,False Caye
12/11/2017,12,11,2017,12:00:00 AM,26.549,False Caye
12/11/2017,12,11,2017,12:15:00 AM,26.524,False Caye
12/11/2017,12,11,2017,12:30:00 AM,26.549,False Caye
12/11/2017,12,11,2017,12:45:00 AM,26.524,False Caye
12/11/2017,12,11,2017,1:00:00 AM,26.5,False Caye
12/11/2017,12,11,2017,1:15:00 AM,26.5,False Caye
12/11/2017,12,11,2017,1:30:00 AM,26.475,False Caye
12/11/2017,12,11,2017,1:45:00 AM,26.451,False Caye
12/11/2017,12,11,2017,2:00:00 AM,26.426,False Caye
12/11/2017,12,11,2017,2:15:00 AM,26.402,False Caye
12/11/2017,12,11,2017,2:30:00 AM,26.378,False Caye
12/11/2017,12,11,2017,2:45:00 AM,26.329,False Caye
12/11/2017,12,11,2017,3:00:00 AM,26.329,False Caye
12/11/2017,12,11,2017,3:15:00 AM,26.329,False Caye
12/11/2017,12,11,2017,3:30:00 AM,26.28,False Caye
12/11/2017,12,11,2017,3:45:00 AM,26.256,False Caye
12/11/2017,12,11,2017,4:00:00 AM,26.256,False Caye
12/11/2017,12,11,2017,4:15:00 AM,26.231,False Caye
12/11/2017,12,11,2017,4:30:00 AM,26.182,False Caye
12/11/2017,12,11,2017,4:45:00 AM,26.158,False Caye
12/12/2017,12,12,2017,5:00:00 AM,26.109,False Caye
12/12/2017,12,12,2017,5:15:00 AM,26.061,False Caye
12/12/2017,12,12,2017,5:30:00 AM,26.061,False Caye
12/12/2017,12,12,2017,5:45:00 AM,26.085,False Caye
12/12/2017,12,12,2017,6:00:00 AM,26.036,False Caye
12/12/2017,12,12,2017,6:15:00 AM,26.012,False Caye
12/12/2017,12,12,2017,6:30:00 AM,26.061,False Caye
12/12/2017,12,12,2017,6:45:00 AM,26.036,False Caye
12/12/2017,12,12,2017,7:00:00 AM,26.012,False Caye
12/12/2017,12,12,2017,7:15:00 AM,26.036,False Caye
12/12/2017,12,12,2017,7:30:00 AM,26.012,False Caye
12/12/2017,12,12,2017,7:45:00 AM,25.939,False Caye
12/12/2017,12,12,2017,8:00:00 AM,25.963,False Caye
12/12/2017,12,12,2017,8:15:00 AM,25.987,False Caye
12/12/2017,12,12,2017,8:30:00 AM,25.963,False Caye
12/12/2017,12,12,2017,8:45:00 AM,25.963,False Caye
12/12/2017,12,12,2017,9:00:00 AM,25.963,False Caye
12/12/2017,12,12,2017,9:15:00 AM,25.987,False Caye
12/12/2017,12,12,2017,9:30:00 AM,25.963,False Caye
12/12/2017,12,12,2017,9:45:00 AM,25.914,False Caye
12/12/2017,12,12,2017,10:00:00 AM,25.89,False Caye
12/12/2017,12,12,2017,10:15:00 AM,25.987,False Caye
12/12/2017,12,12,2017,10:30:00 AM,25.963,False Caye
12/12/2017,12,12,2017,10:45:00 AM,26.012,False Caye
12/12/2017,12,12,2017,11:00:00 AM,26.012,False Caye
12/12/2017,12,12,2017,11:15:00 AM,26.061,False Caye
12/12/2017,12,12,2017,11:30:00 AM,26.012,False Caye
12/12/2017,12,12,2017,11:45:00 AM,26.061,False Caye
12/12/2017,12,12,2017,12:00:00 PM,26.036,False Caye
12/12/2017,12,12,2017,12:15:00 PM,26.061,False Caye
12/12/2017,12,12,2017,12:30:00 PM,26.085,False Caye
12/12/2017,12,12,2017,12:45:00 PM,26.085,False Caye
12/12/2017,12,12,2017,1:00:00 PM,26.109,False Caye
12/12/2017,12,12,2017,1:15:00 PM,26.109,False Caye
12/12/2017,12,12,2017,1:30:00 PM,26.085,False Caye
12/12/2017,12,12,2017,1:45:00 PM,26.109,False Caye
12/12/2017,12,12,2017,2:00:00 PM,26.109,False Caye
12/12/2017,12,12,2017,2:15:00 PM,26.134,False Caye
12/12/2017,12,12,2017,2:30:00 PM,26.182,False Caye
12/12/2017,12,12,2017,2:45:00 PM,26.207,False Caye
12/12/2017,12,12,2017,3:00:00 PM,26.158,False Caye
12/12/2017,12,12,2017,3:15:00 PM,26.207,False Caye
12/12/2017,12,12,2017,3:30:00 PM,26.207,False Caye
12/12/2017,12,12,2017,3:45:00 PM,26.207,False Caye
12/12/2017,12,12,2017,4:00:00 PM,26.256,False Caye
12/12/2017,12,12,2017,4:15:00 PM,26.28,False Caye
12/12/2017,12,12,2017,4:30:00 PM,26.28,False Caye
12/12/2017,12,12,2017,4:45:00 PM,26.353,False Caye
12/12/2017,12,12,2017,5:00:00 PM,26.378,False Caye
12/12/2017,12,12,2017,5:15:00 PM,26.402,False Caye
12/12/2017,12,12,2017,5:30:00 PM,26.402,False Caye
12/12/2017,12,12,2017,5:45:00 PM,26.426,False Caye
12/12/2017,12,12,2017,6:00:00 PM,26.426,False Caye
12/12/2017,12,12,2017,6:15:00 PM,26.451,False Caye
12/12/2017,12,12,2017,6:30:00 PM,26.475,False Caye
12/12/2017,12,12,2017,6:45:00 PM,26.5,False Caye
12/12/2017,12,12,2017,7:00:00 PM,26.5,False Caye
12/12/2017,12,12,2017,7:15:00 PM,26.5,False Caye
12/12/2017,12,12,2017,7:30:00 PM,26.524,False Caye
12/12/2017,12,12,2017,7:45:00 PM,26.549,False Caye
12/12/2017,12,12,2017,8:00:00 PM,26.549,False Caye
12/12/2017,12,12,2017,8:15:00 PM,26.549,False Caye
12/12/2017,12,12,2017,8:30:00 PM,26.524,False Caye
12/12/2017,12,12,2017,8:45:00 PM,26.524,False Caye
12/12/2017,12,12,2017,9:00:00 PM,26.524,False Caye
12/12/2017,12,12,2017,9:15:00 PM,26.524,False Caye
