datetime,date,time,latitude,longitude,analysed_sst,analysis_error
2002-06-01T09:00:00Z,6/1/2002,09:00:00Z,16.45,-88.04,29.24,0.4
2002-06-02T09:00:00Z,6/2/2002,09:00:00Z,16.45,-88.04,29.16,0.4
2002-06-03T09:00:00Z,6/3/2002,09:00:00Z,16.45,-88.04,29.123,0.4
2002-06-04T09:00:00Z,6/4/2002,09:00:00Z,16.45,-88.04,28.764,0.41
2002-06-05T09:00:00Z,6/5/2002,09:00:00Z,16.45,-88.04,28.247,0.41
2002-06-06T09:00:00Z,6/6/2002,09:00:00Z,16.45,-88.04,27.857,0.41
2002-06-07T09:00:00Z,6/7/2002,09:00:00Z,16.45,-88.04,29.247,0.4
2002-06-08T09:00:00Z,6/8/2002,09:00:00Z,16.45,-88.04,29.24,0.38
2002-06-09T09:00:00Z,6/9/2002,09:00:00Z,16.45,-88.04,29.264,0.37
2002-06-10T09:00:00Z,6/10/2002,09:00:00Z,16.45,-88.04,29.273,0.38
2002-06-11T09:00:00Z,6/11/2002,09:00:00Z,16.45,-88.04,29.216,0.4
2002-06-12T09:00:00Z,6/12/2002,09:00:00Z,16.45,-88.04,29.185,0.4
2002-06-13T09:00:00Z,6/13/2002,09:00:00Z,16.45,-88.04,29.313,0.41
2002-06-14T09:00:00Z,6/14/2002,09:00:00Z,16.45,-88.04,28.933,0.41
2002-06-15T09:00:00Z,6/15/2002,09:00:00Z,16.45,-88.04,28.916,0.41
2002-06-16T09:00:00Z,6/16/2002,09:00:00Z,16.45,-88.04,28.913,0.41
2002-06-17T09:00:00Z,6/17/2002,09:00:00Z,16.45,-88.04,28.721,0.41
2002-06-18T09:00:00Z,6/18/2002,09:00:00Z,16.45,-88.04,28.644,0.41
2002-06-19T09:00:00Z,6/19/2002,09:00:00Z,16.45,-88.04,28.681,0.41
2002-06-20T09:00:00Z,6/20/2002,09:00:00Z,16.45,-88.04,28.695,0.41
2002-06-21T09:00:00Z,6/21/2002,09:00:00Z,16.45,-88.04,28.874,0.4
2002-06-22T09:00:00Z,6/22/2002,09:00:00Z,16.45,-88.04,28.922,0.39
2002-06-23T09:00:00Z,6/23/2002,09:00:00Z,16.45,-88.04,29.043,0.38
2002-06-24T09:00:00Z,6/24/2002,09:00:00Z,16.45,-88.04,29.07,0.39
2002-06-25T09:00:00Z,6/25/2002,09:00:00Z,16.45,-88.04,29.187,0.41
2002-06-26T09:00:00Z,6/26/2002,09:00:00Z,16.45,-88.04,28.898,0.41
2002-06-27T09:00:00Z,6/27/2002,09:00:00Z,16.45,-88.04,28.975,0.41
2002-06-28T09:00:00Z,6/28/2002,09:00:00Z,16.45,-88.04,28.905,0.4
2002-06-29T09:00:00Z,6/29/2002,09:00:00Z,16.45,-88.04,28.961,0.4
2002-06-30T09:00:00Z,6/30/2002,09:00:00Z,16.45,-88.04,29.008,0.39
2002-07-01T09:00:00Z,7/1/2002,09:00:00Z,16.45,-88.04,29.004,0.4
2002-07-02T09:00:00Z,7/2/2002,09:00:00Z,16.45,-88.04,28.77,0.4
2002-07-03T09:00:00Z,7/3/2002,09:00:00Z,16.45,-88.04,28.646,0.4
2002-07-04T09:00:00Z,7/4/2002,09:00:00Z,16.45,-88.04,28.703,0.41
2002-07-05T09:00:00Z,7/5/2002,09:00:00Z,16.45,-88.04,28.94,0.41
2002-07-06T09:00:00Z,7/6/2002,09:00:00Z,16.45,-88.04,29.189,0.41
2002-07-07T09:00:00Z,7/7/2002,09:00:00Z,16.45,-88.04,28.776,0.41
2002-07-08T09:00:00Z,7/8/2002,09:00:00Z,16.45,-88.04,28.68,0.41
2002-07-09T09:00:00Z,7/9/2002,09:00:00Z,16.45,-88.04,28.747,0.41
2002-07-10T09:00:00Z,7/10/2002,09:00:00Z,16.45,-88.04,28.584,0.41
2002-07-11T09:00:00Z,7/11/2002,09:00:00Z,16.45,-88.04,28.487,0.41
2002-07-12T09:00:00Z,7/12/2002,09:00:00Z,16.45,-88.04,28.848,0.41
2002-07-13T09:00:00Z,7/13/2002,09:00:00Z,16.45,-88.04,28.716,0.41
2002-07-14T09:00:00Z,7/14/2002,09:00:00Z,16.45,-88.04,29.073,0.39
2002-07-15T09:00:00Z,7/15/2002,09:00:00Z,16.45,-88.04,29.172,0.37
2002-07-16T09:00:00Z,7/16/2002,09:00:00Z,16.45,-88.04,29.311,0.37
2002-07-17T09:00:00Z,7/17/2002,09:00:00Z,16.45,-88.04,29.279,0.38
2002-07-18T09:00:00Z,7/18/2002,09:00:00Z,16.45,-88.04,29.217,0.38
2002-07-19T09:00:00Z,7/19/2002,09:00:00Z,16.45,-88.04,29.337,0.37
2002-07-20T09:00:00Z,7/20/2002,09:00:00Z,16.45,-88.04,29.193,0.38
2002-07-21T09:00:00Z,7/21/2002,09:00:00Z,16.45,-88.04,29.341,0.39
2002-07-22T09:00:00Z,7/22/2002,09:00:00Z,16.45,-88.04,28.473,0.38
2002-07-23T09:00:00Z,7/23/2002,09:00:00Z,16.45,-88.04,28.758,0.37
2002-07-24T09:00:00Z,7/24/2002,09:00:00Z,16.45,-88.04,29.209,0.38
2002-07-25T09:00:00Z,7/25/2002,09:00:00Z,16.45,-88.04,29.2,0.39
2002-07-26T09:00:00Z,7/26/2002,09:00:00Z,16.45,-88.04,29.234,0.4
2002-07-27T09:00:00Z,7/27/2002,09:00:00Z,16.45,-88.04,28.733,0.39
2002-07-28T09:00:00Z,7/28/2002,09:00:00Z,16.45,-88.04,28.739,0.38
2002-07-29T09:00:00Z,7/29/2002,09:00:00Z,16.45,-88.04,28.689,0.38
2002-07-30T09:00:00Z,7/30/2002,09:00:00Z,16.45,-88.04,28.75,0.39
2002-07-31T09:00:00Z,7/31/2002,09:00:00Z,16.45,-88.04,28.962,0.4
2002-08-01T09:00:00Z,8/1/2002,09:00:00Z,16.45,-88.04,29.202,0.4
2002-08-02T09:00:00Z,8/2/2002,09:00:00Z,16.45,-88.04,28.238,0.39
2002-08-03T09:00:00Z,8/3/2002,09:00:00Z,16.45,-88.04,28.704,0.39
2002-08-04T09:00:00Z,8/4/2002,09:00:00Z,16.45,-88.04,29.199,0.38
2002-08-05T09:00:00Z,8/5/2002,09:00:00Z,16.45,-88.04,29.336,0.39
2002-08-06T09:00:00Z,8/6/2002,09:00:00Z,16.45,-88.04,29.632,0.38
